feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,rule,threshold_delta,balanced_accuracy,errors,tp_pass_to_fail,tn_fail_to_pass,false_pass_to_fail,false_fail_to_pass,samples
sdf::direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_3__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,3,le_pass_to_fail,17.0,0.661111,9,6,13,5,4,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_2__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,2,ge_pass_to_fail,12.0,0.661111,9,6,13,5,4,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,ge_pass_to_fail,308.5,0.661111,9,6,13,5,4,28
skew::signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,le_pass_to_fail,5.5,0.655556,10,7,11,7,3,28
sdf::direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,sdf,direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane1,dqs1,,ge_pass_to_fail,-401.0,0.65,11,8,9,9,2,28
sdf::lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,sdf,lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane1,,,ge_pass_to_fail,-401.0,0.65,11,8,9,9,2,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,ge_pass_to_fail,4.0,0.65,11,8,9,9,2,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,ge_pass_to_fail,-167.0,0.65,11,8,9,9,2,28
skew::signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,le_pass_to_fail,-102.5,0.65,11,8,9,9,2,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_1__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,1,ge_pass_to_fail,-575.0,0.644444,12,9,7,11,1,28
