family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,13,bist_counts[13]$LUT$N,SLICE_LUTX,SLICE_X0Y195/B6LUT,SLICE_X4Y204/B6LUT
read_bist_state17,13,bist_counts[14]$LUT$N,SLICE_LUTX,SLICE_X0Y195/C6LUT,SLICE_X4Y204/C6LUT
read_bist_state17,13,bist_counts[15]$LUT$N,SLICE_LUTX,SLICE_X0Y195/D6LUT,SLICE_X4Y204/D6LUT
read_bist_state17,13,bist_counts[16]$LUT$N,SLICE_LUTX,SLICE_X0Y196/A6LUT,SLICE_X4Y205/A6LUT
read_bist_state17,13,bist_counts[17]$LUT$N,SLICE_LUTX,SLICE_X0Y196/B6LUT,SLICE_X4Y205/B6LUT
read_bist_state17,13,bist_counts[18]$LUT$N,SLICE_LUTX,SLICE_X0Y196/C6LUT,SLICE_X4Y205/C6LUT
read_bist_state17,13,bist_counts[19]$LUT$N,SLICE_LUTX,SLICE_X0Y196/D6LUT,SLICE_X4Y205/D6LUT
read_bist_state17,13,bist_counts[1]$LUT$N,SLICE_LUTX,SLICE_X0Y192/B6LUT,SLICE_X4Y201/B6LUT
read_bist_state17,13,bist_counts[20]$LUT$N,SLICE_LUTX,SLICE_X0Y197/A6LUT,SLICE_X4Y206/A6LUT
read_bist_state17,13,bist_counts[21]$LUT$N,SLICE_LUTX,SLICE_X0Y197/B6LUT,SLICE_X4Y206/B6LUT
read_bist_state17,13,bist_counts[22]$LUT$N,SLICE_LUTX,SLICE_X0Y197/C6LUT,SLICE_X4Y206/C6LUT
read_bist_state17,13,bist_counts[23]$LUT$N,SLICE_LUTX,SLICE_X0Y197/D6LUT,SLICE_X4Y206/D6LUT
read_bist_state17,13,bist_counts[24]$LUT$N,SLICE_LUTX,SLICE_X0Y198/A6LUT,SLICE_X4Y207/A6LUT
read_bist_state17,13,bist_counts[25]$LUT$N,SLICE_LUTX,SLICE_X0Y198/B6LUT,SLICE_X4Y207/B6LUT
